symbol,lastClose,marketCap,companyName,exchange,c,o,vwap
EFC.PRD,23.1,1251353923.0,ELLINGTON FINANCIAL - EFC 7 PERP,NYSE,23.1,23.1,23.1
IVT,27.14,2094329636.0,INVENTRUST PROPERTIES CORP,NYSE,27.14,26.87,27.14
VGM,9.64,522799999.99999994,INVESCO TRUST FOR INVESTMEN,NYSE,9.64,9.64,9.64
CNCK,5.94,777038328.0000001,COINCHECK GROUP NV,NASDAQ,5.94,5.93,5.94
MIRM,52.66,2608497742.0750804,MIRUM PHARMACEUTICALS INC,NASDAQ,52.66,52.86,52.66
BURBY,16.42,4369679474.0,BURBERRY GROUP PLC-SPON ADR,OTC,16.42,16.348,16.42
TY,31.91,1655480000.0,TRI-CONTINENTAL CORP,NYSE,31.91,31.82,31.91
ATOGF,29.31,5760165223.0,AUTO1 GROUP SE,OTC,29.31,29.31,29.31
TRIN,14.41,931618038.9771469,TRINITY CAPITAL INC,NASDAQ,14.41,14.42,14.41
TAL,10.5,6417816189.0,TAL EDUCATION GROUP- ADR,NYSE,10.5,10.56,10.5
MIAPF,10.6759,541120000.0,MINTO APARTMENT REAL ESTATE,OTC,10.6759,10.75,10.6759
OCSL,14.41,1269312412.993737,OAKTREE SPECIALTY LENDING CO,NASDAQ,14.41,14.33,14.41
DFDV,27.25,401686216.07142854,DEFI DEVELOPMENT CORP,NASDAQ,27.25,25.5,27.25
FURCF,10.577,1964261146.0,FORVIA,OTC,10.577,10.438,10.577
DXC,14.3,2602039383.216413,DXC TECHNOLOGY CO,NYSE,14.3,14.81,14.3
CBNK,34.75,575610911.8990384,CAPITAL BANCORP INC/MD,NASDAQ,34.75,35.09,34.75
BCSF,15.49,1004813169.5399091,BAIN CAPITAL SPECIALTY FINAN,NYSE,15.49,15.43,15.49
WSR,12.72,1292218944.0,WHITESTONE REIT,NYSE,12.72,12.6,12.72
ONEXF,81.38,7730763578.0,ONEX CORPORATION,OTC,81.38,81.38,81.38
CON,19.9,2550621926.151589,CONCENTRA GROUP HOLDINGS PAR,NYSE,19.9,20.14,19.9
MTLS,5.92,354403116.0,MATERIALISE NV-ADR,NASDAQ,5.92,5.95,5.92
GNL,7.39,1696386404.0,GLOBAL NET LEASE INC,NYSE,7.39,7.38,7.39
NESR,6.36,613440895.7102363,NATIONAL ENERGY SERVICES REU,NASDAQ,6.36,6.33,6.36
AIIXY,37.7,1828857638.0,AIXTRON SE-UNSPONSORED ADR,OTC,37.7,37.7,37.7
NAC,11.19,1619440000.0,NUVEEN CA QLTY MUNI INC,NYSE,11.19,11.21,11.19
PRCH,12.28,1267606207.0082643,PORCH GROUP INC,NASDAQ,12.28,13.14,12.28
NEWTG,25.1,305304108.3671417,NEWTEKONE INC - NEWT 8 1/2 06/01/29,NASDAQ,25.1,25.16,25.1
FRBP,10.7,1457290000.0,FRANKLIN BSP CAPITAL CORP,OTC,10.7,10.76,10.7
MSGE,39.48,1873724950.6424923,MADISON SQUARE GARDEN ENTERT,NYSE,39.48,39.11,39.48
BLE,9.96,475360000.0,BLACKROCK MUNI INC TR II,NYSE,9.96,9.94,9.96
STEP,59.77,6958324882.517485,STEPSTONE GROUP INC-CLASS A,NASDAQ,59.77,59.58,59.77
ATIIU,10.415,302113900.0,ARCHIMEDES TECH SPAC PARTNER,NASDAQ,10.415,10.45,10.415
AMIGY,45.14,9918146108.0,ADMIRAL GROUP PLC-UNSPON ADR,OTC,45.14,44.81,45.14
CDE,9.59,6134697716.507136,COEUR MINING INC,NYSE,9.59,9.54,9.59
FMCCN,17.9,4771437391.6751,Federal Home Loan Mortgage Corporation,OTC,17.9,17.68,17.9
BFS.PRE,21.75,847544765.0,SAUL CENTERS INC - BFS 6 PERP,NYSE,21.75,21.73,21.75
KBRLF,25.41,449508257.0,K-BRO LINEN INC,OTC,25.41,25.41,25.41
ST,32.01,4682749788.140118,SENSATA TECHNOLOGIES HOLDING,NYSE,32.01,32.09,32.01
RA,13.3,743730000.0,BROOKFIELD REAL ASSETS INCOM,NYSE,13.3,13.3,13.3
UOLGY,20.75,5635718127.0,UOL GROUP LIMITED-SP ADR,OTC,20.75,21.0135,20.75
SMA,36.13,1371570000.0,SMARTSTOP SELF STORAGE REIT,NYSE,36.13,35.23,36.13
NZF,11.93,2320870000.0,NUVEEN MUNICIPAL CREDIT INC,NYSE,11.93,11.96,11.93
VIGL,8.05,383876818.6131841,VIGIL NEUROSCIENCE INC,NASDAQ,8.05,8.04,8.05
CTBI,54.59,988675865.0824631,COMMUNITY TRUST BANCORP INC,NASDAQ,54.59,55.04,54.59
DNLMY,15.789,2312851782.0,DUNELM GROUP PLC-UNSP ADR,OTC,15.789,15.42,15.789
FHB,25.87,3252358554.5364366,FIRST HAWAIIAN INC,NASDAQ,25.87,26.01,25.87
CPRX,21.81,2660278090.8727684,CATALYST PHARMACEUTICALS INC,NASDAQ,21.81,21.85,21.81
SLNO,81.565,4110380764.779134,SOLENO THERAPEUTICS INC,NASDAQ,81.565,81.77,81.565
HWC,59.58,5102621636.332471,HANCOCK WHITNEY CORP,NASDAQ,59.58,60.95,59.58
CUBB,20.105,2004877331.1105373,CUSTOMERS BANCORP INC - CUBI 5 3/8 12/30/34,NYSE,20.105,20.105,20.105
ANDE,38.38,1312127988.590377,ANDERSONS INC/THE,NASDAQ,38.38,38.37,38.38
DEC,14.84,828966008.0,DIVERSIFIED ENERGY CO PLC,NYSE,14.84,14.41,14.84
SHLS,5.85,977972731.816609,SHOALS TECHNOLOGIES GROUP -A,NASDAQ,5.85,5.73,5.85
INPOY,7.5,6514999866.0,INPOST SA  - UNSP ADR,OTC,7.5,7.565,7.5
FINV,10.6,2611009099.0,FINVOLUTION GROUP-ADR,NYSE,10.6,10.38,10.6
ACLTF,37.43,5658607645.0,ATCO LTD -CL 'II',OTC,37.43,37.43,37.43
VOYA,72.39,6970718062.083049,VOYA FINANCIAL INC,NYSE,72.39,72.64,72.39
IMAX,26.93,1447272491.168131,IMAX CORP,NYSE,26.93,26.395,26.93
TKAMY,13.2,6847849121.0,THYSSENKRUPP AG-SPON ADR,OTC,13.2,13.0,13.2
IVR.PRC,24.3801,511713735.0,INVESCO MORTGAGE CAPITAL - IVR 7 1/2 PERP,NYSE,24.3801,24.1,24.3801
ASIX,23.13,620177472.9290569,ADVANSIX INC,NYSE,23.13,23.31,23.13
SYRE,15.69,946947380.3872179,SPYRE THERAPEUTICS INC,NASDAQ,15.69,15.76,15.69
UTZ,13.74,1942983699.0174165,UTZ BRANDS INC,NYSE,13.74,13.78,13.74
PKIUF,28.1,6689220252.0,PARKLAND CORP,OTC,28.1,28.1,28.1
DVAX,10.58,1270453236.2330275,DYNAVAX TECHNOLOGIES CORP,NASDAQ,10.58,10.72,10.58
OBDC,14.65,7486856779.329686,BLUE OWL CAPITAL CORP,NYSE,14.65,14.59,14.65
FCF,17.0,1783963601.6298022,FIRST COMMONWEALTH FINL CORP,NYSE,17.0,17.08,17.0
MTUS,16.2,680776975.1897185,METALLUS INC,NYSE,16.2,16.16,16.2
ATEX,23.955,447859628.2938251,ANTERIX INC,NASDAQ,23.955,24.09,23.955
CCD,20.52,555980000.0,CALAMOS DYN CONVERT & INC,NASDAQ,20.52,20.49,20.52
LYSCF,6.37,7754854760.0,LYNAS RARE EARTHS LTD,OTC,6.37,6.0,6.37
FLGZY,11.53,6962266685.0,FLUGHAFEN ZUERICH AG-REG,OTC,11.53,11.53,11.53
FCPT,26.58,2672555445.0,FOUR CORNERS PROPERTY TRUST,NYSE,26.58,26.42,26.58
BCAX,9.71,529546705.5967742,BICARA THERAPEUTICS INC,NASDAQ,9.71,9.63,9.71
HLIO,36.25,1208278245.3968904,HELIOS TECHNOLOGIES INC,NYSE,36.25,36.16,36.25
